1848 Feb 27,F&P-3,The Calls of Grace
1848 Mar 5,F&P-4,Prejudice and Faith
1848 Mar 12,F&P-5,Surrender to God
1848 Mar 19,F&P-6,The World and Sin
1848 Mar 26,F&P-7,Our Lady in the Gospel
1849 Feb 2,DMC-1,The Salvation of the Hearer the Motive of the Preacher
1849,DMC-2,Neglect of Divine Calls and Warnings
1849,DMC-3,"Men, not Angels, the Priests of the Gospel"
1849,DMC-4,Purity and Love
1849,DMC-5,Saintliness the Standard of Christian Principle
1849,DMC-6,God's Will the End of Life
1849,DMC-7,Perseverance in Grace
1849,DMC-8,Nature and Grace
1849,DMC-9,Illuminating Grace
1849,DMC-10,Faith and Private Judgment
1849,DMC-11,Faith and Doubt
1849 May 31,DMC-12,Prospects of the Catholic Missioner
1849,DMC-13,Mysteries of Nature and of Grace
1849,DMC-14,The Mystery of Divine Condescension
1849,DMC-15,The Infinitude of the Divine Attributes
1849,DMC-16,Mental Sufferings of Our Lord in His Passion
1849,DMC-17,The Glories of Mary for the Sake of Her Son
1849,DMC-18,On the Fitness of the Glories of Mary
1850 Jan 15 & 18,SPVO-12,The Mission of St. Philip Neri (1)
 , ,The Mission of St. Philip Neri (2)
1850 Oct 27,SPVO-9,Christ upon the Waters (1)
 , ,Christ upon the Waters (2)
1852 Jul 13,SPVO-10,The Second Spring
1853 Nov 9,SPVO-11,"Order, the Witness and Instrument of Unity"
1856,SPVO-1,"Intellect, the Instrument of Religious Training"
1856,SPVO-2,"The Religion of the Pharisee, the Religion of Mankind"
1856,SPVO-3,Waiting for Christ
1856,SPVO-4,The Secret Power of Divine Grace
1856,SPVO-5,Dispositions for Faith
1857,SPVO-6,Omnipotence in Bonds
1857,SPVO-7,St. Paul's Characteristic Gift
1857,SPVO-8,St. Paul's Gift of Sympathy
1859 Nov 11,SPVO-13,The Tree beside the Waters
1866 Oct 7,SPVO-15,The Pope and the Revolution
1870 Jul 31,F&P-8,Stewards and Also Sons of God
1873 May 5,SPVO-14,"In the World, but not of the World"
1873 Oct 2,F&P-9,The Infidelity of the Future
